"","Location","Median Annual Income"
"1","AL",42245
"2","AK",60566
"3","AZ",48319
"4","AR",39806
"5","CA",56074
"6","CO",59803
"7","CT",67165
"8","DE",55421
"9","FL",46136
"10","GA",45642
"11","HI",59605
"12","ID",48348
"13","IL",52801
"14","IN",46166
"15","IA",51322
"16","KS",46847
"17","KY",42331
"18","LA",42946
"19","ME",49648
"20","MD",67469
"21","MA",62809
"22","MI",48281
"23","MN",56869
"24","MS",39078
"25","MO",48058
"26","MT",41753
"27","NE",53927
"28","NV",51263
"29","NH",67287
"30","NJ",65072
"31","NM",44732
"32","NY",51547
"33","NC",44787
"34","ND",53827
"35","OH",46696
"36","OK",47008
"37","OR",51735
"38","PA",50087
"39","RI",52142
"40","SC",42065
"41","SD",47353
"42","TN",41524
"43","TX",49195
"44","UT",58438
"45","VT",54805
"46","VA",62776
"47","WA",59370
"48","WV",42801
"49","WI",52574
"50","WY",54458
