"Location","Gonorrhea Cases"
"AL","9132"
"AK","984"
"AZ","4564"
"AR","4687"
"CA","27516"
"CO","2363"
"CT","2449"
"DE","827"
"FL","19689"
"GA","16428"
"HI","685"
"ID","162"
"IL","17037"
"IN","6569"
"IA","1920"
"KS","2209"
"KY","4521"
"LA","9169"
"ME","272"
"MD","6458"
"MA","2353"
"MI","12901"
"MN","2284"
"MS","5814"
"MO","7802"
"MT","85"
"NE","1352"
"NV","2000"
"NH","130"
"NJ","7348"
"NM","1839"
"NY","20706"
"NC","17454"
"ND","251"
"OH","16726"
"OK","4215"
"OR","1489"
"PA","13770"
"RI","360"
"SC","8350"
"SD","602"
"TN","7667"
"TX","30930"
"UT","277"
"VT","48"
"VA","6518"
"WA","2737"
"WV","796"
"WI","4789"
"WY","46"
