"Location","Syphilis Cases"
"AL","758"
"AK","11"
"AZ","906"
"AR","464"
"CA","6782"
"CO","367"
"CT","189"
"DE","124"
"FL","4142"
"GA","1895"
"HI","32"
"ID","42"
"IL","2426"
"IN","468"
"IA","70"
"KS","76"
"KY","335"
"LA","2043"
"ME","24"
"MD","1278"
"MA","770"
"MI","762"
"MN","367"
"MS","748"
"MO","414"
"MT","9"
"NE","36"
"NV","430"
"NH","33"
"NJ","971"
"NM","212"
"NY","4786"
"NC","1254"
"ND","5"
"OH","954"
"OK","270"
"OR","252"
"PA","1125"
"RI","84"
"SC","639"
"SD","14"
"TN","1025"
"TX","6169"
"UT","64"
"VT","10"
"VA","726"
"WA","712"
"WV","9"
"WI","202"
"WY","6"
